UNITID,University Name,State,Institution Type,Average Cost,Median Debt,Earnings (10 Years Out),Earnings (6 Years Out),Academic Year
134495,Hillsborough Community College,FL,Public,9847.0,9584.0,38771.0,32884.0,2019-20
134574,Cortiva Institute,FL,Private For-Profit,,7521.0,30363.0,21742.0,2019-20
134608,Indian River State College,FL,Public,6525.0,8176.0,35482.0,30508.0,2019-20
134714,International Academy,FL,Private For-Profit,,9500.0,21441.0,17571.0,2019-20
134811,AI Miami International University of Art and Design,FL,Private For-Profit,28627.0,29453.0,34363.0,27938.0,2019-20
134945,Jacksonville University,FL,Private Non-Profit,53794.0,21438.0,57255.0,57035.0,2019-20
135081,Keiser University-Ft Lauderdale,FL,Private Non-Profit,37274.0,25425.0,37335.0,35351.0,2019-20
135142,La Belle Beauty School,FL,Private For-Profit,,8148.0,16225.0,16466.0,2019-20
135160,Florida Gateway College,FL,Public,9248.0,6750.0,34395.0,31132.0,2019-20
135188,Lake-Sumter State College,FL,Public,9678.0,6750.0,34784.0,32178.0,2019-20
135337,Loraines Academy & Spa,FL,Private For-Profit,,6333.0,19937.0,18159.0,2019-20
135364,Luther Rice College & Seminary,GA,Private Non-Profit,,30478.0,49700.0,38131.0,2019-20
135391,State College of Florida-Manatee-Sarasota,FL,Public,16793.0,9250.0,36583.0,32958.0,2019-20
135610,Trinity International University-Florida,FL,Private Non-Profit,26757.0,25125.0,44008.0,37614.0,2019-20
135717,Miami Dade College,FL,Public,11320.0,9500.0,39169.0,31686.0,2019-20
135726,University of Miami,FL,Private Non-Profit,67249.0,17500.0,71739.0,60672.0,2019-20
136109,Paul Mitchell the School-Jacksonville,FL,Private For-Profit,,12389.0,23759.0,26916.0,2019-20
136172,University of North Florida,FL,Public,19627.0,16331.0,52114.0,44219.0,2019-20
136215,Nova Southeastern University,FL,Private Non-Profit,48294.0,25000.0,56055.0,48167.0,2019-20
136233,Northwest Florida State College,FL,Public,12381.0,6459.0,36862.0,31393.0,2019-20
136330,Palm Beach Atlantic University,FL,Private Non-Profit,48254.0,22512.0,49234.0,38362.0,2019-20
136358,Palm Beach State College,FL,Public,9372.0,7000.0,40313.0,32904.0,2019-20
136400,Pasco-Hernando State College,FL,Public,10676.0,10286.0,36985.0,31928.0,2019-20
136473,Pensacola State College,FL,Public,9082.0,7000.0,35945.0,29307.0,2019-20
136516,Polk State College,FL,Public,14000.0,9750.0,38897.0,32287.0,2019-20
136774,Ringling College of Art and Design,FL,Private Non-Profit,67325.0,27000.0,47921.0,38594.0,2019-20
136950,Rollins College,FL,Private Non-Profit,66157.0,26000.0,56485.0,42072.0,2019-20
137032,Saint Leo University,FL,Private Non-Profit,38182.0,25735.0,47428.0,41433.0,2019-20
137078,St Petersburg College,FL,Public,12006.0,17443.0,41583.0,33360.0,2019-20
137096,Santa Fe College,FL,Public,14091.0,11250.0,41929.0,33220.0,2019-20
137209,Seminole State College of Florida,FL,Public,12943.0,11250.0,40799.0,33547.0,2019-20
137281,Saint Johns River State College,FL,Public,11486.0,12375.0,38131.0,32116.0,2019-20
137315,South Florida State College,FL,Public,9879.0,8377.0,35828.0,30671.0,2019-20
137351,University of South Florida,FL,Public,21282.0,18341.0,54364.0,45961.0,2019-20
137476,St. Thomas University,FL,Private Non-Profit,43839.0,21500.0,55391.0,39808.0,2019-20
137546,Stetson University,FL,Private Non-Profit,61050.0,24000.0,50835.0,42075.0,2019-20
137564,Southeastern University,FL,Private Non-Profit,37388.0,21500.0,42006.0,34707.0,2019-20
137591,Bene's Career Academy,FL,Private For-Profit,,6333.0,19884.0,17090.0,2019-20
137759,Tallahassee State College,FL,Public,8543.0,9167.0,36610.0,30374.0,2019-20
137801,Altierus Career College-Tampa,FL,Private Non-Profit,27151.0,8898.0,24766.0,19863.0,2019-20
137847,The University of Tampa,FL,Private Non-Profit,44706.0,24250.0,57297.0,46754.0,2019-20
